timestamp,raw_ppm,moving_average,rolling_median,rate_of_rise,state,gas_type
2025-08-11 10:42:59,500,0,0,0,INSUFFICIENT_DATA,Methane
2025-08-11 10:42:59,1500,1000.0,1000.0,200843.54288009641,NORMAL,Methane
2025-08-11 10:42:59,2500,1500.0,1500.0,222741.95344693176,NORMAL,Methane
2025-08-11 10:42:59,5000,2375.0,2000.0,321704.31798684585,NORMAL,Methane
2025-08-11 10:42:59,8000,3500.0,2500.0,441462.1225498852,EARLY_WARNING,Methane
2025-08-11 10:42:59,12000,4916.666666666667,3750.0,548010.4836788182,EARLY_WARNING,Methane
2025-08-11 10:43:52,3000,0,0,0,INSUFFICIENT_DATA,Methane
2025-08-11 10:44:17,8000,5500.0,5500.0,194.7953715528865,NORMAL,Methane
2025-08-11 12:22:10,3000,0,0,0,INSUFFICIENT_DATA,Methane
2025-08-11 12:22:20,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:22:30,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:22:40,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:22:50,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:23:00,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:23:27,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:24:09,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:24:09,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:24:20,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:24:30,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:24:40,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:24:50,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:25:00,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:25:27,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:26:27,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:27:27,3000,0,0,0,INSUFFICIENT_DATA,Methane
2025-08-11 12:27:58,3000,0,0,0,INSUFFICIENT_DATA,Methane
2025-08-11 12:27:59,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:28:10,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:28:20,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:28:29,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:28:40,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:28:50,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:29:00,3000,0,0,0,INSUFFICIENT_DATA,Methane
2025-08-11 12:29:10,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:29:20,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:29:30,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:30:27,3000,0,0,0,INSUFFICIENT_DATA,Methane
2025-08-11 12:31:07,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:31:09,3000,3000.0,3000.0,0.0,NORMAL,Methane
2025-08-11 12:31:20,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:31:43,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
2025-08-11 12:31:53,3000,3000.0,3000.0,0.0,EARLY_WARNING,Methane
